Field Header,แสดงตาม Media Group,Field Type,Field Required,Value,Field Description
Bus No.,เฉพาะ Media Group Transit,Free Text,Yes only bus,,เลขข้างตัวถังรถ
Bus Line Update,เฉพาะ Media Group Transit,Drop Down List,Yes only bus,"bus102, bus107, bus11, bus114, bus129, bus137, bus138, bus141, bus142, bus145, bus15, Bus1-50, bus168, Bus18, Bus1-8, bus198, bus2, bus20, bus204, bus205, bus206, bus21, Bus2-14, Bus21E, Bus22, bus23, bus2-36, ",สายรถเมล์ที่รถทะเบียนคันนี้ถูกนำไปช่วยวิ่งสายอื่นกรณีที่จำนวนรถไม่พอขาย
Bus Line Fixed,เฉพาะ Media Group Transit,Drop Down List,Yes only bus,"bus102, bus107, bus11, bus114, bus129, bus137, bus138, bus141, bus142, bus145, bus15, Bus1-50, bus168, Bus18, Bus1-8, bus198, bus2, bus20, bus204, bus205, bus206, bus21, Bus2-14, Bus21E, Bus22, bus23, bus2-36, ",สายรถเมล์ที่รถทะเบียนคันนี้ขึ้นทะเบียนวิ่ง
Near Location,เฉพาะ Media Group Transit,Radio,No,"Department Store, School / University, Hospital, Public transportation connection point",จุดที่รถเมล์สายนี้ขับผ่าน
Near Location Detail,เฉพาะ Media Group Transit,Free Text,No,,ข้อมูลเพิ่มเติมของสถานที่ที่รถเมล์ขับผ่าน
Route Distance,เฉพาะ Media Group Transit,Value,Yes only bus,,ระยะทางจากต้นสาย-ปลายสาย/เที่ยว
Location Base,เฉพาะ Media Group Retail,Drop Down List,Yes Only 7-11,"Residential Area, Gas Station, Commercial Area, Office Building",ประเภทกลุ่มสถานที่ตั้งของสื่อ 7-11
Profile,เฉพาะ Media Group Retail,Drop Down List,Yes Only 7-11,"1. ที่พักอาศัย/ตลาด, 2. สถานศึกษา, 3. สำนักงาน, 4. ปั๊มน้ำมัน, 5. โรงงาน, 6. โรงพยาบาล, 7. สถานที่ท่องเที่ยว, 8. สถานบันเทิง, 9. จุดต่อรถ",ประเภทกลุ่มสถานที่ตั้งของสื่อ 7-11 (กำหนดโดย CP)
Sub-Profile,เฉพาะ Media Group Retail,Drop Down List,Yes Only 7-11,"1.1 H-M บ้านเดี่ยว, 1.1 บ้านเดี่ยว, ทาวน์โฮม, 1.2 High คอนโดฯ, อพาร์ทเมนต์, แฟลต, 1.2 L-บ้านเดี่ยว, 1.3 H-M ทาวน์โฮม , ทาวน์เฮ้าส์ , อาคารพาณิชย์, 1.3 Standard คอนโดฯ, อพาร์ทเมนต์, แฟลต, 1.4 L-ทาวน์โฮม , ทาวน์เฮ้าส์ , อาคารพาณิชย์, 1.4 ตลาด, 1.5 H-M คอนโดมิเนียม, 1.6 L-คอนโดมิเนียม , อพาร์ทเมนต์ , แฟลต, 1.7 ตลาด, 2.1 โรงเรียน, 2.2 อุดมศึกษา, 3.1 ส่วนราชการ/ Office อาคารพาณิชย์, 3.2 Office Tower, 4.1 ปั๊มน้ำมันทางผ่าน, 4.2 ปั๊มน้ำมันชุมชน, 4.3 ปั๊มน้ำมันทางผ่าน+ชุมชน, 5 โรงงาน, 6 โรงพยาบาล, 7.1 สถานที่ท่องเที่ยวทางทะเล, 7.2 สถานที่ท่องเที่ยวอื่นๆ, 8 สถานบันเทิง, 9.1 สถานีขนส่ง, 9.3 จุดต่อรถ และอื่นๆ",ประเภทกลุ่มสถานที่ตั้งของสื่อ 7-11 (กำหนดโดย CP)
Screen Type,เฉพาะ Media Group Retail,Drop Down List,no,"Over Vault, Open Type, Top Shelf, Kiosk, Pole, Clamp, Street Furniture, LED Screen, Baggage Claim, Immigration, Mobile Charger, LED Charger, LED Station, LED Baggage Claim",ประเภทจอโฆษณา
No. of Screen,เฉพาะ Media Group Retail,Number,no,,จำนวนจอโฆษณารายประเภทจอ
Traffic Light Name,เฉพาะ Media Group Digital,Drop Down List,No,แยกนิด้า,ชื่อสี่แยกที่จอติดตั้งอยู่
Maximum visibility distance (meters),เฉพาะ Media Group Digital,Number,No,,ระยะการมองเห็นที่ดีที่สุด(เมตร)
Minimum readable distance for screen ads (meters),เฉพาะ Media Group Digital,Number,No,,ระยะเริ่มมองเห็นโฆษณาในจอภาพรู้เรื่อง(เมตร)
Dwell Time (sec.),เฉพาะ Media Group Digital,Number,No,,ระยะเวลา ที่มีการมองเห็นภาพโฆษณาขณะขับรถ(Dwell Time)
Customization Tier,เฉพาะ Media Group Digital,Drop Down List,No,"B1, B2, B3, B4, B5, B6",Cutomization Tier (พื้นที่ขนาดของจอที่มีการแบ่ง Sq.m.)
Pixel Pitch,เฉพาะ Media Group Digital,Free Text,No,,ความละเอียดของจอภาพ/ตร.นิ้ว
Resolution File (W)Px,เฉพาะ Media Group Digital,Number,No,,ความละเอียดไฟล์ภาพ
Resolution File (H)Px,เฉพาะ Media Group Digital,Number,No,,ความละเอียดไฟล์ภาพ
Format,เฉพาะ Media Group Digital,Drop Down List,Yes,"พิเศษ, 16-9, 4-3,43, 179, 11, AT16-9, AT4-3,",เพิ่มเติม เพื่อทำ Media Approval
Format Name,เฉพาะ Media Group Digital,Drop Down List,Yes,"11,16-9,179,43,4-3,ANYA,AT16-9,AT4-3,BN,BNEX,BNOA,BNOB,BNOP,BNOPB,BNOS,BTS,CHL,CLF",เพิ่มเติม เพื่อทำ Media Approval
Format ratio = Resolution (px.),เฉพาะ Media Group Digital,Drop Down List,Yes,"1000x880, 1008x384, 1008x576, 1008x720, 1020x480, 1020x540, 1020x660, 1024x256, 1024x576, 1024x768",อัตราส่วนของภาพโฆษณา
Duration,เฉพาะ Media Group Digital,Number,Yes,,เพิ่มเติม เพื่อทำ Media Approval
Venue Type,เฉพาะ Media Group Digital,Drop Down List,No,"LED ป้อมตำรวจ, LED Vertical, LED Screens, จอภายในห้าง (INMALL), จอภายในสถานี (MRT)",ประเภทของการติดตั้งจอภาพ เช่น ป้ายข้างถนน ทางด่วน บนอาคาร ภายในห้าง
Height from ground to screen/sign bottom edge,เฉพาะ Media Group Digital,Number,No,,ความสูงจากพื้นถึงขอบจอด้านล่าง
Number of ad faces/signs,เฉพาะ Media Group Classic,Number,Yes,,จำนวนสูงสุดที่ภาพโฆษณาจะสามารถมีได้ต่อ 1 ป้าย
Cost of Production,เฉพาะ Media Group Classic,Number,Yes,,ต้นทุนค่าผลิตของแต่ละป้าย
