Media Group,SignatureScreen,Media Type,Package
Digital,The Network,Plan B TV,PlanBTV 240Full
,,,PlanBTV 80Red
,,,PlanBTV 80Blue
,,,PlanBTV 40Red
,,,PlanBTV 40Blue
,,Customize BKK,Customize BKK
,The Network,Plan B TV Nationwide,PlanBTV Nationwide120
,,,PlanBTV Nationwide57Red
,,,PlanBTV Nationwide57Blue
,,Customize Nationwide,Customize Nationwide
,SignatureScreen,SiamParagonFacade,SiamParagonFacade
,,ParcParagon The90Drgree Interchange21,ParcParagon The90Drgree Interchange21
,,ThePanoramix,ThePanoramix
,,TheDistric Em,TheDistric Em
,,Signaturemax,Signaturemax
,,Dusit Central Park,Dusit Central Park
,,TheBigY,TheBigY
,,BravoBKK,BravoBKK
,,Twintube+,Twintube+
,,So-Bkk,So-Bkk
,,Base,Base
,,Ploenchit Interchange,Ploenchit Interchange
,,At-narong Interchange,At-narong Interchange
,,Airtraveller Gateway,Airtraveller Gateway
,SignatureScreen,Lido Connect,Lido Connect
,,LA PlanB,LA PlanB
,,The20,The20
,BKK Prime,Bangkok Jams,Bangkok Jams
,,Bangkok Jams2.0,Bangkok Jams2.0
,,Rama9 Connect,Rama9 Connect
,,Digital Gateway X,Digital Gateway X
,,CityMax,CityMax
Airport,Fly,Airtraveller Series,Airtraveller Series
,,Thai Airway,Thai Airway
,,Air Traveller 2.0,Air Traveller 2.0
,,Air Traveller Supreme,Air Traveller Supreme
,,Don Mueang Digital Network,DMK
,,,LED Station
,Thaiflight,Airport Digital Network,LED Baggage Claim
,,,Mobile Charger
,,,LED Station
,,,LED Pole
Retail,Luxury,CentralNetwork,CentralNetwork 
,,,CentralNetwork 360
,,,CentralNetwork Max
,,Motionblock,Motionblock
,,Nextopia SiamParagon,Nextopia SiamParagon
,,SiamParagon Inmall,SiamParagon Inmall
,Instore,7-Eleven Plus,Multimedia
,,,Metro LED
,,,POS
,,,Radio
Transit,Rail,Digital MRT,Digital MRT
,,Pid@MRT,Pid@MRT
,BTS,BTS Ciltyline,BTS Ciltyline
,,BTS Cityline [Gold],BTS Cityline [Gold]
,,BTS Concourse,BTS Concourse
,,BTS Max,BTS Max
,,BTS Skytrain,BTS Skytrain
,,BTS Station,BTS Station
,,Chongnonsri Skywalk,Chongnonsri Skywalk
,,MBK,MBK
,,Prime Offlice,Prime Offlice
,,Station Takeover,Station Takeover
,,Walkway Balustrade,Walkway Balustrade
 Classic,The Canvas Collection,CookieAndCream,Cream
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
